Commodity,Year,Attribute,Value
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Per capita availability adjusted for loss-Lbs/year,38.71849744
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Per capita availability adjusted for loss-Lbs/year,38.69708187
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Per capita availability adjusted for loss-Lbs/year,39.13706797
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Per capita availability adjusted for loss-Lbs/year,39.9372187
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Per capita availability adjusted for loss-Lbs/year,40.19542412
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Per capita availability adjusted for loss-Lbs/year,40.5438854
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Per capita availability adjusted for loss-Lbs/year,40.88390697
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Per capita availability adjusted for loss-Lbs/year,40.57470833
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Per capita availability adjusted for loss-Lbs/year,40.2126243
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Per capita availability adjusted for loss-Lbs/year,40.06429129
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Per capita availability adjusted for loss-Lbs/year,40.25832603
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Per capita availability adjusted for loss-Lbs/year,40.81940912
Refined cane and beet sugar: Per capita availability adjusted for loss,2022,Per capita availability adjusted for loss-Lbs/year,40.65196512
Refined cane and beet sugar: Per capita availability adjusted for loss,2023,Per capita availability adjusted for loss-Lbs/year,40.18087385
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Per capita availability adjusted for loss-Oz/day,2.620138167
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Per capita availability adjusted for loss-Oz/day,2.629401083
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Per capita availability adjusted for loss-Oz/day,2.633963407
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Per capita availability adjusted for loss-Oz/day,2.595769403
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Per capita availability adjusted for loss-Oz/day,2.463233977
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Per capita availability adjusted for loss-Oz/day,2.295775215
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Per capita availability adjusted for loss-Oz/day,2.404520964
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Per capita availability adjusted for loss-Oz/day,2.425475562
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Per capita availability adjusted for loss-Oz/day,2.354503727
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Per capita availability adjusted for loss-Oz/day,2.300220162
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Per capita availability adjusted for loss-Oz/day,2.153407507
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Per capita availability adjusted for loss-Oz/day,2.044531268
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Per capita availability adjusted for loss-Oz/day,1.897277997
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Per capita availability adjusted for loss-Oz/day,1.810074722
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Per capita availability adjusted for loss-Oz/day,1.716247326
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Per capita availability adjusted for loss-Oz/day,1.615227233
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Per capita availability adjusted for loss-Oz/day,1.546163017
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Per capita availability adjusted for loss-Oz/day,1.606191341
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Per capita availability adjusted for loss-Oz/day,1.598140326
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Per capita availability adjusted for loss-Oz/day,1.615834032
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Per capita availability adjusted for loss-Oz/day,1.657651781
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Per capita availability adjusted for loss-Oz/day,1.637002436
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Per capita availability adjusted for loss-Oz/day,1.653549653
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Per capita availability adjusted for loss-Oz/day,1.643291108
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Per capita availability adjusted for loss-Oz/day,1.657389673
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Per capita availability adjusted for loss-Oz/day,1.671628949
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Per capita availability adjusted for loss-Oz/day,1.674267636
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Per capita availability adjusted for loss-Oz/day,1.670561581
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Per capita availability adjusted for loss-Oz/day,1.671889768
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Per capita availability adjusted for loss-Oz/day,1.706899994
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Per capita availability adjusted for loss-Oz/day,1.68721916
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Per capita availability adjusted for loss-Oz/day,1.659714391
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Per capita availability adjusted for loss-Oz/day,1.627459017
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Per capita availability adjusted for loss-Oz/day,1.566820437
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Per capita availability adjusted for loss-Oz/day,1.584409617
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Per capita availability adjusted for loss-Oz/day,1.621143873
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Per capita availability adjusted for loss-Oz/day,1.59938915
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Per capita availability adjusted for loss-Oz/day,1.573881531
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Per capita availability adjusted for loss-Oz/day,1.674583252
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Per capita availability adjusted for loss-Oz/day,1.631531612
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Per capita availability adjusted for loss-Oz/day,1.697249203
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Per capita availability adjusted for loss-Oz/day,1.696310438
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Per capita availability adjusted for loss-Oz/day,1.7155975
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Per capita availability adjusted for loss-Oz/day,1.750672601
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Per capita availability adjusted for loss-Oz/day,1.761991194
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Per capita availability adjusted for loss-Oz/day,1.777266209
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Per capita availability adjusted for loss-Oz/day,1.792171264
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Per capita availability adjusted for loss-Oz/day,1.778617351
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Per capita availability adjusted for loss-Oz/day,1.762745175
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Per capita availability adjusted for loss-Oz/day,1.756242906
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Per capita availability adjusted for loss-Oz/day,1.764748538
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Per capita availability adjusted for loss-Oz/day,1.789343961
Refined cane and beet sugar: Per capita availability adjusted for loss,2022,Per capita availability adjusted for loss-Oz/day,1.78200395
Refined cane and beet sugar: Per capita availability adjusted for loss,2023,Per capita availability adjusted for loss-Oz/day,1.761353374
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Per capita availability adjusted for loss-G/day,74.27960698
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Per capita availability adjusted for loss-G/day,74.54220601
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Per capita availability adjusted for loss-G/day,74.67154561
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Per capita availability adjusted for loss-G/day,73.5887647
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Per capita availability adjusted for loss-G/day,69.83145162
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Per capita availability adjusted for loss-G/day,65.08407946
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Per capita availability adjusted for loss-G/day,68.16696706
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Per capita availability adjusted for loss-G/day,68.76101946
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Per capita availability adjusted for loss-G/day,66.74900342
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Per capita availability adjusted for loss-G/day,65.21009149
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Per capita availability adjusted for loss-G/day,61.04802613
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Per capita availability adjusted for loss-G/day,57.96143917
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Per capita availability adjusted for loss-G/day,53.78688256
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Per capita availability adjusted for loss-G/day,51.31471332
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Per capita availability adjusted for loss-G/day,48.65475358
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Per capita availability adjusted for loss-G/day,45.79088444
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Per capita availability adjusted for loss-G/day,43.83294844
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Per capita availability adjusted for loss-G/day,45.53472141
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Per capita availability adjusted for loss-G/day,45.30647918
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Per capita availability adjusted for loss-G/day,45.80808688
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Per capita availability adjusted for loss-G/day,46.99359916
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Per capita availability adjusted for loss-G/day,46.40820056
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Per capita availability adjusted for loss-G/day,46.87730588
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Per capita availability adjusted for loss-G/day,46.58648128
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Per capita availability adjusted for loss-G/day,46.98616855
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Per capita availability adjusted for loss-G/day,47.3898449
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Per capita availability adjusted for loss-G/day,47.46465035
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Per capita availability adjusted for loss-G/day,47.35958555
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Per capita availability adjusted for loss-G/day,47.39723899
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Per capita availability adjusted for loss-G/day,48.38976138
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Per capita availability adjusted for loss-G/day,47.83181957
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Per capita availability adjusted for loss-G/day,47.05207313
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Per capita availability adjusted for loss-G/day,46.1376494
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Per capita availability adjusted for loss-G/day,44.41857599
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Per capita availability adjusted for loss-G/day,44.91722043
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Per capita availability adjusted for loss-G/day,45.95861822
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Per capita availability adjusted for loss-G/day,45.34188271
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Per capita availability adjusted for loss-G/day,44.61875448
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Per capita availability adjusted for loss-G/day,47.47359791
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Per capita availability adjusted for loss-G/day,46.25310543
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Per capita availability adjusted for loss-G/day,48.11616627
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Per capita availability adjusted for loss-G/day,48.08955277
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Per capita availability adjusted for loss-G/day,48.63633133
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Per capita availability adjusted for loss-G/day,49.63069289
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Per capita availability adjusted for loss-G/day,49.95156936
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Per capita availability adjusted for loss-G/day,50.3846084
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Per capita availability adjusted for loss-G/day,50.80715926
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Per capita availability adjusted for loss-G/day,50.4229126
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Per capita availability adjusted for loss-G/day,49.97294433
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Per capita availability adjusted for loss-G/day,49.78860827
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Per capita availability adjusted for loss-G/day,50.02973869
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Per capita availability adjusted for loss-G/day,50.72700664
Refined cane and beet sugar: Per capita availability adjusted for loss,2022,Per capita availability adjusted for loss-G/day,50.51892099
Refined cane and beet sugar: Per capita availability adjusted for loss,2023,Per capita availability adjusted for loss-G/day,49.93348748
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2022,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,2023,Calories per teaspoon-Number,16
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2022,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,2023,Grams per teaspoon-Grams,4.2
Refined cane and beet sugar: Per capita availability adjusted for loss,1970,Calories available daily-Number,282.9699313
Refined cane and beet sugar: Per capita availability adjusted for loss,1971,Calories available daily-Number,283.9703086
Refined cane and beet sugar: Per capita availability adjusted for loss,1972,Calories available daily-Number,284.4630309
Refined cane and beet sugar: Per capita availability adjusted for loss,1973,Calories available daily-Number,280.3381512
Refined cane and beet sugar: Per capita availability adjusted for loss,1974,Calories available daily-Number,266.0245776
Refined cane and beet sugar: Per capita availability adjusted for loss,1975,Calories available daily-Number,247.9393503
Refined cane and beet sugar: Per capita availability adjusted for loss,1976,Calories available daily-Number,259.683684
Refined cane and beet sugar: Per capita availability adjusted for loss,1977,Calories available daily-Number,261.9467408
Refined cane and beet sugar: Per capita availability adjusted for loss,1978,Calories available daily-Number,254.2819178
Refined cane and beet sugar: Per capita availability adjusted for loss,1979,Calories available daily-Number,248.4193962
Refined cane and beet sugar: Per capita availability adjusted for loss,1980,Calories available daily-Number,232.5639091
Refined cane and beet sugar: Per capita availability adjusted for loss,1981,Calories available daily-Number,220.8054826
Refined cane and beet sugar: Per capita availability adjusted for loss,1982,Calories available daily-Number,204.9024098
Refined cane and beet sugar: Per capita availability adjusted for loss,1983,Calories available daily-Number,195.4846222
Refined cane and beet sugar: Per capita availability adjusted for loss,1984,Calories available daily-Number,185.3514422
Refined cane and beet sugar: Per capita availability adjusted for loss,1985,Calories available daily-Number,174.4414646
Refined cane and beet sugar: Per capita availability adjusted for loss,1986,Calories available daily-Number,166.9826607
Refined cane and beet sugar: Per capita availability adjusted for loss,1987,Calories available daily-Number,173.4656054
Refined cane and beet sugar: Per capita availability adjusted for loss,1988,Calories available daily-Number,172.5961111
Refined cane and beet sugar: Per capita availability adjusted for loss,1989,Calories available daily-Number,174.5069976
Refined cane and beet sugar: Per capita availability adjusted for loss,1990,Calories available daily-Number,179.0232349
Refined cane and beet sugar: Per capita availability adjusted for loss,1991,Calories available daily-Number,176.793145
Refined cane and beet sugar: Per capita availability adjusted for loss,1992,Calories available daily-Number,178.5802129
Refined cane and beet sugar: Per capita availability adjusted for loss,1993,Calories available daily-Number,177.4723096
Refined cane and beet sugar: Per capita availability adjusted for loss,1994,Calories available daily-Number,178.9949278
Refined cane and beet sugar: Per capita availability adjusted for loss,1995,Calories available daily-Number,180.5327425
Refined cane and beet sugar: Per capita availability adjusted for loss,1996,Calories available daily-Number,180.8177156
Refined cane and beet sugar: Per capita availability adjusted for loss,1997,Calories available daily-Number,180.4174688
Refined cane and beet sugar: Per capita availability adjusted for loss,1998,Calories available daily-Number,180.5609104
Refined cane and beet sugar: Per capita availability adjusted for loss,1999,Calories available daily-Number,184.3419481
Refined cane and beet sugar: Per capita availability adjusted for loss,2000,Calories available daily-Number,182.2164555
Refined cane and beet sugar: Per capita availability adjusted for loss,2001,Calories available daily-Number,179.2459929
Refined cane and beet sugar: Per capita availability adjusted for loss,2002,Calories available daily-Number,175.7624739
Refined cane and beet sugar: Per capita availability adjusted for loss,2003,Calories available daily-Number,169.2136228
Refined cane and beet sugar: Per capita availability adjusted for loss,2004,Calories available daily-Number,171.1132207
Refined cane and beet sugar: Per capita availability adjusted for loss,2005,Calories available daily-Number,175.0804503
Refined cane and beet sugar: Per capita availability adjusted for loss,2006,Calories available daily-Number,172.7309817
Refined cane and beet sugar: Per capita availability adjusted for loss,2007,Calories available daily-Number,169.9762075
Refined cane and beet sugar: Per capita availability adjusted for loss,2008,Calories available daily-Number,180.8518016
Refined cane and beet sugar: Per capita availability adjusted for loss,2009,Calories available daily-Number,176.2023064
Refined cane and beet sugar: Per capita availability adjusted for loss,2010,Calories available daily-Number,183.299681
Refined cane and beet sugar: Per capita availability adjusted for loss,2011,Calories available daily-Number,183.1982963
Refined cane and beet sugar: Per capita availability adjusted for loss,2012,Calories available daily-Number,185.2812622
Refined cane and beet sugar: Per capita availability adjusted for loss,2013,Calories available daily-Number,189.0693063
Refined cane and beet sugar: Per capita availability adjusted for loss,2014,Calories available daily-Number,190.2916928
Refined cane and beet sugar: Per capita availability adjusted for loss,2015,Calories available daily-Number,191.9413653
Refined cane and beet sugar: Per capita availability adjusted for loss,2016,Calories available daily-Number,193.5510829
Refined cane and beet sugar: Per capita availability adjusted for loss,2017,Calories available daily-Number,192.0872861
Refined cane and beet sugar: Per capita availability adjusted for loss,2018,Calories available daily-Number,190.3731213
Refined cane and beet sugar: Per capita availability adjusted for loss,2019,Calories available daily-Number,189.6708886
Refined cane and beet sugar: Per capita availability adjusted for loss,2020,Calories available daily-Number,190.5894807
Refined cane and beet sugar: Per capita availability adjusted for loss,2021,Calories available daily-Number,193.2457396
Refined cane and beet sugar: Per capita availability adjusted for loss,2022,Calories available daily-Number,192.4530324
Refined cane and beet sugar: Per capita availability adjusted for loss,2023,Calories available daily-Number,190.2228094
